id_str,name,created,loc,mentions,hashtags,text
959592477564047360,SurtChilling,2018-02-03 01:00:49,,"[{'screen_name': 'ggreenwald', 'name': 'Glenn Greenwald', 'id': 16076032, 'id_str': '16076032', 'indices': [0, 11]}]",[],b'@ggreenwald &gt;into prolific poster of mega-viral tweets filled with Aaron-Sorkin liberal platitudes about ethics and\xe2\x80\xa6 https://t.co/8s5UEEFteN'
959592474355388416,Herotakucom,2018-02-03 01:00:48,International,[],[],b'Official Images: S.H.Figuarts Catwoman (The Dark Knight Rises) https://t.co/nBvSCxfIzq https://t.co/PY3ieoYWpl'
959592481724616707,Rodolfotrejo8,2018-02-03 01:00:50,,[],[],b'Just posted a photo https://t.co/VdDbgxvfHy'
959592481540239360,LowkeyAsgardian,2018-02-03 01:00:50,,[],[],"b""In all honesty, Thor isn't even a Zeppelin fan."""
959592481296805890,MarleneJaimess,2018-02-03 01:00:50,,[],[],b'not to be dramatic but i would diee https://t.co/E8MTpPqexw'
959592481695268864,ayekassidi,2018-02-03 01:00:50,"Arizona, USA",[],[],b'They only way to order beer is by the pitcher'
959592481556975616,LikeHaley509,2018-02-03 01:00:50,,[],[],b'When your cat is being an asshole after you let her lay on your shit all day'
959592481544384512,ThatsSoTyrussss,2018-02-03 01:00:50,"Memphis, TN",[],[],b'Do you guys believe in love at first sight?'
959592481577930752,UsaRugss,2018-02-03 01:00:50,ala,[],"[{'text': 'products', 'indices': [67, 76]}]",b'These Products Will Flip The Light Switch On Your Dull Winter Skin #products https://t.co/duGT8Omsbo (via https://t.co/XmZnplntek)'
959592481645002752,WVUM_Playlist,2018-02-03 01:00:50,,[],[],b'\xe2\x99\xaaAdmin - Listen to the Lift!'
959592481506512898,Surfingcity,2018-02-03 01:00:50,"LA/Orange County, California","[{'screen_name': 'clovis1931', 'name': 'Dennis Strickland', 'id': 3276085620, 'id_str': '3276085620', 'indices': [0, 11]}, {'screen_name': 'steph93065', 'name': 'Steph', 'id': 261749735, 'id_str': '261749735', 'indices': [12, 23]}]",[],b'@clovis1931 @steph93065 Best to replace him.  Make him resign rather than have to force him to do his job on a continuous basis.'
959592481649078277,monkeyservant,2018-02-03 01:00:50,"Phoenix, AZ","[{'screen_name': 'BrentNorrisKY', 'name': 'Brent Norris', 'id': 22867146, 'id_str': '22867146', 'indices': [0, 14]}, {'screen_name': 'futonsrf', 'name': 'Shawn', 'id': 29740538, 'id_str': '29740538', 'indices': [15, 24]}, {'screen_name': 'pennjillette', 'name': 'Penn Jillette', 'id': 14749383, 'id_str': '14749383', 'indices': [25, 38]}]",[],"b'@BrentNorrisKY @futonsrf @pennjillette Even earlier than that: it\'s for a trick from one of their books - I believe ""How to Play In Traffic""'"
959592481527656448,lgbtsof,2018-02-03 01:00:50,,"[{'screen_name': 'magnusgiggles', 'name': 'grumpy bi', 'id': 730095597504581632, 'id_str': '730095597504581632', 'indices': [0, 14]}]",[],b'@magnusgiggles yes and she sounds so bad what a mess'
959592481795928064,shnsonmnho,2018-02-03 01:00:50,ＮＳＡ,"[{'screen_name': 'haebina', 'name': '해빈.', 'id': 832197635503071235, 'id_str': '832197635503071235', 'indices': [0, 8]}, {'screen_name': 'INTLWORLDrp', 'name': 'W❄RLD', 'id': 2179971092, 'id_str': '2179971092', 'indices': [9, 21]}]",[],b'@haebina @INTLWORLDrp hahaha thank you /smile/ just call me oppa or shon.. lets get along well'
959592479526998016,timothyhykes,2018-02-03 01:00:50,St. Louis,"[{'screen_name': 'de_nichols', 'name': 'De Nichols', 'id': 41386532, 'id_str': '41386532', 'indices': [22, 33]}]",[],b'February 2nd below to @de_nichols. An entrepreneur of many talents and a keynote lecturer of many inspiring words.\xe2\x80\xa6 https://t.co/NUFThoEHu2'
959592481087205376,Clifford1462,2018-02-03 01:00:50,Palm Beach / New York ,"[{'screen_name': 'DHStokyo', 'name': 'Tokyo Sand', 'id': 26443215, 'id_str': '26443215', 'indices': [0, 9]}, {'screen_name': 'FLGovScott', 'name': 'Rick Scott', 'id': 131546062, 'id_str': '131546062', 'indices': [55, 66]}]",[],b'@DHStokyo That\xe2\x80\x99s our stupid governor ... Rucky boy ... @FLGovScott ... and you want to be our Senator after 2018 ..\xe2\x80\xa6 https://t.co/SINTckYhyN'
959592479715745793,BillEstesCBGMC,2018-02-03 01:00:50,"Lebanon, IN",[],[],"b""Get ready for the BIG game this Sunday! \xf0\x9f\x8f\x88 Will you be watching at a local restaurant, a friend's place, or at home?\xe2\x80\xa6 https://t.co/DVxTNADkkg"""
959592481464766464,createmindfully,2018-02-03 01:00:50,,[],[],"b'This easy vegan ALT (Avocado, Lettuce, and Tomato) Wrap has layers of lettuce, tomato, and avocado wrapped in a glu\xe2\x80\xa6 https://t.co/SeL3QS8BHC'"
959592481502453761,sexwitth5sos,2018-02-03 01:00:50,gauchasquad,[],[],"b""Luke Hemmings makes me smile even when I'm crying"""
959592480919511043,dimplejhoseok,2018-02-03 01:00:50,rest in peace Jonghyun ♡,[],[],"b""16 days until Hoseok's birthday \xf0\x9f\x8c\x99\nYou are so cute.. you make my heart melt. https://t.co/wI3qPnsSCw"""
959592481670213633,KayliChantel_,2018-02-03 01:00:50,,"[{'screen_name': 'bronXraised', 'name': 'Alba', 'id': 118932274, 'id_str': '118932274', 'indices': [0, 12]}]",[],b'@bronXraised I think we need a plan a redo what you think \xf0\x9f\xa7\x90\xf0\x9f\xa4\x97'
959592481011638272,FransioliNick,2018-02-03 01:00:50,"Colorado Springs, CO",[],[],"b""Basketball is in season, and I'm here for your sneaker obsession and other valuables you need to protect. Let's mak\xe2\x80\xa6 https://t.co/NAdLPc5xW5"""
959592481330483200,jm8299,2018-02-03 01:00:50,SC,[],[],"b'Takes time, but it\xe2\x80\x99s worth it https://t.co/YIKQ3ZrEOb'"
959592481867231233,DeniseKeith,2018-02-03 01:00:50,"MNL, PH",[],[],b'I wonder why depressed people tend to be so entertaining'
959592481611485184,Isaacedesigner,2018-02-03 01:00:50,"Buffalo, NY",[],[],b'\xf0\x9f\x93\xb7 branddesignclub: Invitations styled after the iconic look of Wes Anderson\xe2\x80\x99s \xe2\x80\x98The Grand Budapest... https://t.co/AX6rrtEekI'
